# Detector log started : 2026-07-06 21:15:55.159
# Port                 : /dev/cu.usbmodem142101  Baud: 115200
# Author               : (unset)
# Threshold            : 20 mV
# Columns              : pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
#
pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
2026-07-06 21:20:13.151	581	512348	101	1.1300	20
2026-07-06 21:20:13.152	582	512402	21	1.1400	20
2026-07-06 21:20:13.848	583	513082	77	1.1400	20
2026-07-06 21:20:15.875	584	515156	51	1.1300	20
2026-07-06 21:20:16.151	585	515391	120	1.1400	20
2026-07-06 21:20:20.042	586	519259	81	1.1300	20
2026-07-06 21:20:20.273	587	519449	20	1.1300	20
2026-07-06 21:20:20.873	588	520080	23	1.1300	20
2026-07-06 21:20:21.973	589	521184	134	1.1300	20
2026-07-06 21:20:22.474	590	521679	27	1.1300	20
2026-07-06 21:20:25.136	591	524331	101	1.1300	20
2026-07-06 21:20:25.447	592	524651	154	1.1300	20
2026-07-06 21:20:25.772	593	525021	150	1.1300	20
2026-07-06 21:20:25.773	594	525042	46	1.1300	20
2026-07-06 21:20:29.542	595	528802	239	1.1300	20
2026-07-06 21:20:31.259	596	530495	22	1.1200	20
2026-07-06 21:20:33.050	597	532263	38	1.1200	20
2026-07-06 21:20:35.441	598	534699	67	1.1200	20
2026-07-06 21:20:37.359	599	536589	75	1.1200	20
2026-07-06 21:20:37.851	600	537107	54	1.1200	20
2026-07-06 21:20:38.550	601	537825	203	1.1200	20
2026-07-06 21:20:39.846	602	539079	23	1.1200	20
2026-07-06 21:20:40.348	603	539593	29	1.1200	20
2026-07-06 21:20:41.041	604	540328	21	1.1200	20
2026-07-06 21:20:41.150	605	540378	73	1.1200	20
2026-07-06 21:20:43.584	606	542773	30	1.1200	20
2026-07-06 21:20:46.049	607	545323	20	1.1100	20
2026-07-06 21:20:46.956	608	546172	175	1.1100	20
2026-07-06 21:20:47.198	609	546463	108	1.1100	20
2026-07-06 21:20:48.473	610	547702	20	1.1100	20
2026-07-06 21:20:51.689	611	550905	22	1.1100	20
2026-07-06 21:20:52.052	612	551334	31	1.1100	20
2026-07-06 21:20:52.140	613	551362	53	1.1100	20
2026-07-06 21:20:52.350	614	551574	75	1.1100	20
2026-07-06 21:20:52.519	615	551786	51	1.1100	20
2026-07-06 21:20:55.654	616	554887	39	1.1100	20
2026-07-06 21:20:56.272	617	555544	166	1.1100	20
2026-07-06 21:20:56.481	618	555715	138	1.1100	20
2026-07-06 21:20:57.180	619	556385	234	1.1100	20
2026-07-06 21:20:59.284	620	558555	23	1.1100	20
2026-07-06 21:20:59.948	621	559209	114	1.1100	20
2026-07-06 21:21:01.045	622	560314	35	1.1100	20
2026-07-06 21:21:01.241	623	560519	21	1.1100	20
2026-07-06 21:21:01.684	624	560946	80	1.1100	20
2026-07-06 21:21:03.385	625	562601	49	1.1100	20
2026-07-06 21:21:04.441	626	563724	32	1.1100	20
2026-07-06 21:21:04.976	627	564181	142	1.1100	20
2026-07-06 21:21:04.976	628	564200	25	1.1100	20
2026-07-06 21:21:05.649	629	564866	28	1.1100	20
2026-07-06 21:21:05.796	630	565071	38	1.1100	20
2026-07-06 21:21:07.247	631	566509	28	1.1100	20
2026-07-06 21:21:07.582	632	566787	70	1.1200	20
2026-07-06 21:21:08.559	633	567828	33	1.1100	20
2026-07-06 21:21:08.751	634	568023	98	1.1200	20
2026-07-06 21:21:10.861	635	570149	209	1.1100	20
2026-07-06 21:21:12.152	636	571396	142	1.1100	20
2026-07-06 21:21:13.858	637	573121	119	1.1100	20
2026-07-06 21:21:16.246	638	575492	161	1.1100	20
2026-07-06 21:21:17.175	639	576429	79	1.1100	20
2026-07-06 21:21:17.678	640	576954	39	1.1100	20
2026-07-06 21:21:18.158	641	577428	48	1.1100	20
2026-07-06 21:21:20.270	642	579472	79	1.1100	20
2026-07-06 21:21:20.460	643	579665	70	1.1100	20
2026-07-06 21:21:20.778	644	580036	20	1.1100	20
2026-07-06 21:21:22.268	645	581458	37	1.1100	20
2026-07-06 21:21:22.649	646	581909	43	1.1100	20
2026-07-06 21:21:23.145	647	582396	23	1.1100	20
2026-07-06 21:21:23.271	648	582438	123	1.1100	20
2026-07-06 21:21:23.974	649	583256	62	1.1100	20
2026-07-06 21:21:24.569	650	583805	61	1.1100	20
2026-07-06 21:21:26.192	651	585419	68	1.1100	20
2026-07-06 21:21:28.665	652	587923	61	1.1100	20
2026-07-06 21:21:29.468	653	588727	23	1.1100	20
2026-07-06 21:21:36.265	654	595478	39	1.1000	20
2026-07-06 21:21:36.697	655	595928	48	1.1000	20
2026-07-06 21:21:37.941	656	597205	22	1.1000	20
2026-07-06 21:21:38.048	657	597275	117	1.1000	20
2026-07-06 21:21:38.641	658	597867	49	1.1000	20
2026-07-06 21:21:39.340	659	598607	187	1.1000	20
2026-07-06 21:21:40.640	660	599859	83	1.1000	20
2026-07-06 21:21:43.546	661	602816	30	1.1000	20
2026-07-06 21:21:43.860	662	603149	29	1.1000	20
2026-07-06 21:21:45.773	663	605000	32	1.1000	20
2026-07-06 21:21:46.145	664	605376	23	1.1000	20
2026-07-06 21:21:48.845	665	608109	23	1.0900	20
